Code, Description, CodeType, Deprecated, Created, Modified, 
127160, Solea solea, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127178, Coregonus albula, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127180, Coregonus lavaretus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127186, Salmo salar, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127187, Salmo trutta, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127190, Agonus cataphractus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127196, Cottus gobio, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127201, Micrenophrys lilljeborgii, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
127203, Myoxocephalus scorpius, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
127204, Taurulus bubalis, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127205, Triglops murrayi, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
127214, Cyclopterus lumpus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127219, Liparis liparis, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
127220, Liparis montagui, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
127251, Helicolenus dactylopterus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
127253, Sebastes marinus (historic name), SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127254, Sebastes mentella, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127255, Sebastes viviparus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
127259, Chelidonichthys cuculus, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127262, Chelidonichthys lucerna, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127312, Maurolicus muelleri, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
127379, Entelurus aequoreus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127385, Nerophis ophidion, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
127387, Syngnathus acus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127389, Syngnathus rostellatus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127393, Syngnathus typhle, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127419, Capros aper, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127427, Zeus faber, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
137071, Clangula hyemalis, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137072, Melanitta fusca, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137073, Melanitta nigra, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137074, Somateria mollissima, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137075, Somateria spectabilis, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137128, Alca torda, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137129, Alle alle, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137130, Cepphus grylle, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137131, Fratercula arctica, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137133, Uria aalge, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137134, Uria lomvia, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137137, Chlidonias niger, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137138, Larus argentatus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137141, Larus canus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137142, Larus fuscus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137145, Larus hyperboreus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137146, Larus marinus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137147, Larus melanocephalus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
137154, Pagophila eburnea, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
